
%BEGIN rPTSA config
restriction := 20
q0 := q
m0 := m0
gamma0 := root
%END rPTSA config
    
%BEGIN rPTSA rules
(q, m0, root, 1, (q, m1, up gL))
(q, m1, root, 1, (q, m2, up gL))
(q, m2, root, 1, (q, m3, up gL))
(q, m3, root, 1, (q, m4, up gL))
(q, m4, root, 1, (q, m5, up gL))
(q, m5, root, 1, (q, m6, up gL))
(q, m6, root, 1, (q, m7, up gL))
(q, m7, root, 1, (q, m8, up gL))
(q, m8, root, 1, (q, m9, up gL))
(q, m9, root, 1, (q, m10, up gL))
(q, m10, root, 1, (q, m11, up gL))
(q, m11, root, 1, (q, m12, up gL))
(q, m12, root, 1, (q, m13, up gL))
(q, m13, root, 1, (q, m14, up gL))
(q, m14, root, 1, (q, m15, up gL))
(q, m15, root, 1, (q, m16, up gL))
(q, m16, root, 1, (q, m17, up gL))
(q, m17, root, 1, (q, m18, up gL))
(q, m18, root, 1, (q, m19, up gL))
(q, m19, root, 1, (q, m20, up gL))
(q, m20, root, 1, \top)
(q, m0, gL, 1/3, (q, visited_left, up gL))
(q, m0, gL, 1 - 1/3, (q, leaf, down))
(q, to_revisit, gL, 1, (q, visited_left, up gL))
(q, visited_left, gL, 1, (q, visited_right, up gR))
(q, visited_right, gL, 1, (q, to_revisit, down))
(q, leaf, gL, 1, (q, leaf, down))
(q, m0, gR, 1/3, (q, visited_left, up gL))
(q, m0, gR, 1 - 1/3, (q, leaf, down))
(q, to_revisit, gR, 1, (q, visited_left, up gL))
(q, visited_left, gR, 1, (q, visited_right, up gR))
(q, visited_right, gR, 1, (q, to_revisit, down))
(q, leaf, gR, 1, (q, leaf, down))
%END rPTSA rules
